epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,6140.87,1.0954,1.77336,0.60974,1.09192,0,0.67889,0.53316,0.59977,0.38155,0.64712,0.51224,0.55903,0.32519,1.74265,2.76987,1.21739,1.58229,0,0.000398187,0.000398187,0.000398187
76,6499.16,1.08296,1.74335,0.60124,1.09301,0,0.72549,0.52925,0.61806,0.39781,0.69426,0.50063,0.56456,0.32311,1.76437,2.79391,1.1721,1.58116,0,0.000386539,0.000386539,0.000386539
77,6859.3,1.06865,1.73385,0.60194,1.08571,0,0.67075,0.53859,0.60648,0.38805,0.74853,0.46112,0.55268,0.32197,1.75384,2.84971,1.17086,1.55766,0,0.00037496,0.00037496,0.00037496
78,7218.13,1.07132,1.74704,0.59825,1.08903,0,0.73545,0.51698,0.60884,0.39369,0.7224,0.4894,0.57002,0.32741,1.74445,2.84015,1.24304,1.55295,0,0.000363457,0.000363457,0.000363457
79,7577.73,1.07824,1.75229,0.59396,1.09204,0,0.6627,0.54666,0.59636,0.38648,0.66655,0.49755,0.54807,0.32688,1.74329,2.81724,1.19403,1.55642,0,0.000352037,0.000352037,0.000352037
80,7935.26,1.0712,1.73057,0.58233,1.08286,0,0.67908,0.55733,0.61669,0.40253,0.69626,0.49654,0.56593,0.32916,1.75181,2.84649,1.12754,1.57563,0,0.000340706,0.000340706,0.000340706
81,8294.93,1.07177,1.74014,0.59036,1.08423,0,0.74003,0.53193,0.60441,0.39508,0.71685,0.51514,0.56912,0.33161,1.76282,2.84316,1.16485,1.58774,0,0.000329471,0.000329471,0.000329471
82,8655.63,1.05608,1.71549,0.58737,1.0717,0,0.6803,0.52883,0.59504,0.39463,0.69756,0.47942,0.553,0.32975,1.74868,2.80421,1.15007,1.56323,0,0.000318338,0.000318338,0.000318338
83,9014.4,1.05726,1.7029,0.57264,1.0707,0,0.63423,0.57183,0.60415,0.39448,0.74543,0.47896,0.56017,0.32794,1.75639,2.83871,1.15672,1.59121,0,0.000307315,0.000307315,0.000307315
84,9374.64,1.04686,1.69277,0.56884,1.06505,0,0.69298,0.5492,0.62021,0.40583,0.67183,0.51469,0.58307,0.33715,1.74519,2.8079,1.13844,1.54995,0,0.000296406,0.000296406,0.000296406
