epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
99,2068.24,0.99216,1.94381,0.59476,1.10486,0,0.93896,0.90718,0.96135,0.73383,0.93732,0.9015,0.95549,0.70225,1.07929,1.67494,0.56856,1.28627,0,0.000520548,0.000520548,0.000520548
100,2089.54,1.01247,2.00189,0.62046,1.12496,0,0.93286,0.9105,0.96164,0.73001,0.93586,0.91794,0.95937,0.70241,1.133,1.69178,0.5904,1.33508,0,0.000512775,0.000512775,0.000512775
101,2110.37,1.014,2.03306,0.61539,1.11403,0,0.93771,0.90751,0.96279,0.74615,0.9367,0.91481,0.96175,0.71538,1.06924,1.58239,0.56717,1.28383,0,0.000505,0.000505,0.000505
102,2130.83,1.03687,2.02596,0.61843,1.12234,0,0.92735,0.92008,0.96542,0.75006,0.93708,0.90695,0.96046,0.70186,1.03113,1.59894,0.54784,1.24807,0,0.000497225,0.000497225,0.000497225
103,2151.68,1.06512,2.085,0.64115,1.12893,0,0.93826,0.90564,0.96681,0.74306,0.94029,0.91088,0.96404,0.71167,1.08021,1.56489,0.54722,1.27145,0,0.000489452,0.000489452,0.000489452
104,2173.43,1.04547,2.09075,0.62154,1.1247,0,0.95377,0.89237,0.96572,0.75137,0.95292,0.90039,0.96265,0.70878,1.04679,1.53931,0.53093,1.24903,0,0.000481682,0.000481682,0.000481682
105,2193.18,1.02035,1.99182,0.61087,1.12245,0,0.95246,0.89283,0.96864,0.75216,0.95416,0.90019,0.96283,0.71481,1.018,1.6464,0.53541,1.25283,0,0.000473919,0.000473919,0.000473919
106,2214.45,1.00758,1.99553,0.60951,1.1116,0,0.9564,0.89121,0.96747,0.74751,0.95496,0.89646,0.96364,0.70579,1.05459,1.67885,0.54181,1.29184,0,0.000466163,0.000466163,0.000466163
107,2234.27,0.98518,1.93061,0.59016,1.09593,0,0.95108,0.89179,0.96834,0.74441,0.95201,0.89777,0.96434,0.70975,1.06885,1.59592,0.53987,1.28635,0,0.000458416,0.000458416,0.000458416
108,2256.3,1.04657,2.0662,0.63152,1.13101,0,0.95537,0.8768,0.96436,0.74721,0.95679,0.87811,0.96158,0.7121,1.05338,1.51764,0.53098,1.25626,0,0.000450682,0.000450682,0.000450682
109,2276.77,1.00427,2.0421,0.61765,1.12049,0,0.95836,0.87486,0.96503,0.75346,0.96499,0.87811,0.96229,0.71681,1.01421,1.55173,0.52073,1.23018,0,0.00044296,0.00044296,0.00044296
110,2297.23,0.9826,1.91365,0.57433,1.0875,0,0.95724,0.88029,0.96527,0.74985,0.96126,0.88073,0.96235,0.71565,1.0244,1.52505,0.52946,1.2202,0,0.000435254,0.000435254,0.000435254
111,2317.65,1.0184,1.9946,0.60715,1.11039,0,0.91677,0.90947,0.96531,0.75456,0.92741,0.90039,0.96258,0.71662,1.00315,1.5158,0.52905,1.20324,0,0.000427565,0.000427565,0.000427565
112,2338.53,1.00464,1.9447,0.58624,1.10075,0,0.95416,0.87299,0.966,0.76022,0.9508,0.88652,0.96145,0.71429,0.98187,1.53109,0.53539,1.19961,0,0.000419895,0.000419895,0.000419895
113,2360.35,1.02661,2.06015,0.62127,1.12343,0,0.94482,0.89761,0.96433,0.75052,0.9462,0.89892,0.96183,0.7111,1.00106,1.56627,0.55356,1.21238,0,0.000412246,0.000412246,0.000412246
114,2381.17,0.96516,1.92564,0.58295,1.0866,0,0.96701,0.87156,0.96592,0.7511,0.96374,0.87074,0.96072,0.71469,0.98967,1.53533,0.54129,1.20638,0,0.00040462,0.00040462,0.00040462
115,2401.52,0.99344,1.97581,0.5879,1.09622,0,0.94027,0.8872,0.96044,0.74996,0.94449,0.89204,0.96023,0.70535,0.9856,1.55454,0.55015,1.21029,0,0.000397019,0.000397019,0.000397019
116,2422.19,1.01812,2.04179,0.61589,1.12552,0,0.94772,0.87909,0.96065,0.74575,0.94593,0.89122,0.95885,0.71086,1.04122,1.50303,0.55755,1.25185,0,0.000389445,0.000389445,0.000389445
117,2442.98,0.97963,1.88447,0.58106,1.08902,0,0.93488,0.89646,0.96354,0.74808,0.93442,0.90039,0.96128,0.7105,1.05477,1.48697,0.55659,1.26849,0,0.000381899,0.000381899,0.000381899
118,2463.83,1.01814,2.01782,0.6022,1.11844,0,0.94655,0.89777,0.96495,0.75596,0.94656,0.89384,0.96018,0.70592,0.98952,1.51881,0.53364,1.21423,0,0.000374383,0.000374383,0.000374383
119,2485.5,0.98374,1.94341,0.5848,1.09698,0,0.94991,0.89471,0.96615,0.75712,0.94712,0.89209,0.96092,0.7164,0.98355,1.50734,0.52908,1.21043,0,0.000366899,0.000366899,0.000366899
120,2506.85,0.99806,1.97849,0.60136,1.09684,0,0.96167,0.88791,0.96633,0.75239,0.95859,0.89253,0.96111,0.71705,1.02305,1.53344,0.54697,1.2284,0,0.00035945,0.00035945,0.00035945
121,2526.87,1.00544,1.98477,0.59647,1.10208,0,0.97085,0.87942,0.96623,0.75271,0.94817,0.89777,0.96375,0.71541,1.01708,1.56036,0.52259,1.21836,0,0.000352037,0.000352037,0.000352037
122,2547.66,0.9968,1.93652,0.58811,1.11314,0,0.94819,0.8875,0.9652,0.75215,0.94486,0.89841,0.96165,0.71762,1.04541,1.52217,0.51764,1.24135,0,0.000344661,0.000344661,0.000344661
