epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2468.82,1.49217,1.79132,1.8809,0.4214,0.34847,0.34915,0.18265,2.04164,2.1232,2.41737,7.12282e-05,7.12282e-05,7.12282e-05
86,2496.76,1.48365,1.80308,1.8672,0.40139,0.35828,0.35013,0.18442,2.03989,2.12476,2.41216,6.39518e-05,6.39518e-05,6.39518e-05
87,2524.85,1.5115,1.845,1.90277,0.40046,0.35842,0.34738,0.1847,2.03372,2.1418,2.40343,5.71106e-05,5.71106e-05,5.71106e-05
88,2552.86,1.51724,1.82335,1.90154,0.40116,0.35765,0.3471,0.1837,2.03907,2.12859,2.39837,5.07115e-05,5.07115e-05,5.07115e-05
89,2580.79,1.47246,1.77954,1.86555,0.42304,0.34248,0.34456,0.18261,2.0409,2.1197,2.39564,4.47606e-05,4.47606e-05,4.47606e-05
90,2608.56,1.46889,1.75728,1.85798,0.41235,0.34533,0.34297,0.18144,2.04176,2.12126,2.39748,3.9264e-05,3.9264e-05,3.9264e-05
91,2654.2,1.47348,1.83591,1.92589,0.38016,0.34608,0.33692,0.18008,2.0694,2.1669,2.40406,3.4227e-05,3.4227e-05,3.4227e-05
92,2682.87,1.47625,1.74708,1.94425,0.35811,0.3676,0.34326,0.18199,2.06781,2.09222,2.40271,2.96546e-05,2.96546e-05,2.96546e-05
93,2712.14,1.45716,1.70294,1.93994,0.36866,0.36503,0.33919,0.18171,2.04353,2.08966,2.38713,2.55513e-05,2.55513e-05,2.55513e-05
94,2740.89,1.45768,1.71214,1.95898,0.35925,0.3859,0.33887,0.18336,2.02825,2.10397,2.37239,2.19212e-05,2.19212e-05,2.19212e-05
95,2769.67,1.44786,1.65895,1.91132,0.3533,0.38338,0.33865,0.18239,2.02892,2.11784,2.37738,1.87678e-05,1.87678e-05,1.87678e-05
96,2798.76,1.43348,1.68063,1.91895,0.3692,0.3847,0.33937,0.18355,2.02625,2.10881,2.37564,1.60943e-05,1.60943e-05,1.60943e-05
97,2827.82,1.4366,1.66659,1.92639,0.36038,0.38328,0.34183,0.18386,2.02574,2.10317,2.37957,1.39032e-05,1.39032e-05,1.39032e-05
98,2856.52,1.43313,1.65983,1.92014,0.35433,0.38367,0.33868,0.18334,2.03351,2.11776,2.38744,1.21968e-05,1.21968e-05,1.21968e-05
99,2885.17,1.43628,1.64162,1.91758,0.35121,0.3848,0.33737,0.18276,2.0348,2.12559,2.39017,1.09768e-05,1.09768e-05,1.09768e-05
